##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	pc33_read1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	404640790
Sequences flagged as poor quality	0
Sequence length	150
%GC	46
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.4842374146215	40.0	40.0	40.0	40.0	40.0
2	38.63755689089081	40.0	40.0	40.0	40.0	40.0
3	38.74914651090909	40.0	40.0	40.0	40.0	40.0
4	38.81806251416225	40.0	40.0	40.0	40.0	40.0
5	38.75969184915836	40.0	40.0	40.0	40.0	40.0
6	38.99432641973638	40.0	40.0	40.0	40.0	40.0
7	39.00156355962037	40.0	40.0	40.0	40.0	40.0
8	38.99449459358756	40.0	40.0	40.0	40.0	40.0
9	38.97611075739547	40.0	40.0	40.0	40.0	40.0
10	39.02013356092944	40.0	40.0	40.0	40.0	40.0
11	39.013783548613574	40.0	40.0	40.0	40.0	40.0
12	38.992962232008296	40.0	40.0	40.0	40.0	40.0
13	38.94284074524469	40.0	40.0	40.0	40.0	40.0
14	38.91794264735397	40.0	40.0	40.0	40.0	40.0
15	38.83014379247332	40.0	40.0	40.0	40.0	40.0
16	39.256877844668104	40.0	40.0	40.0	40.0	40.0
17	39.22534377218866	40.0	40.0	40.0	40.0	40.0
18	39.17448340292139	40.0	40.0	40.0	40.0	40.0
19	39.131617946870854	40.0	40.0	40.0	40.0	40.0
20	39.08816792296199	40.0	40.0	40.0	40.0	40.0
21	39.04778200932239	40.0	40.0	40.0	40.0	40.0
22	39.0207767289106	40.0	40.0	40.0	40.0	40.0
23	39.00796088303406	40.0	40.0	40.0	40.0	40.0
24	38.994840969937805	40.0	40.0	40.0	40.0	40.0
25	38.9865566247041	40.0	40.0	40.0	40.0	40.0
26	38.60331611649928	40.0	40.0	40.0	40.0	40.0
27	38.584309787453705	40.0	40.0	40.0	40.0	40.0
28	38.51437189513197	40.0	40.0	40.0	40.0	40.0
29	38.35018638135814	40.0	40.0	40.0	40.0	40.0
30	38.27613173649646	40.0	40.0	40.0	40.0	40.0
31	38.216096617446794	40.0	40.0	40.0	40.0	40.0
32	38.13466997729023	40.0	40.0	40.0	40.0	40.0
33	37.96468042186256	40.0	40.0	40.0	40.0	40.0
34	37.75945611909269	40.0	40.0	40.0	24.0	40.0
35	37.520699759408835	40.0	40.0	40.0	24.0	40.0
36	37.36680616899745	40.0	40.0	40.0	24.0	40.0
37	37.08745840477427	40.0	40.0	40.0	24.0	40.0
38	36.83457842695493	40.0	40.0	40.0	24.0	40.0
39	36.58471758618305	40.0	40.0	40.0	24.0	40.0
40	36.34581622875934	40.0	40.0	40.0	24.0	40.0
41	36.12301087589316	40.0	40.0	40.0	24.0	40.0
42	35.91585340172947	40.0	40.0	40.0	24.0	40.0
43	35.64185548372422	40.0	40.0	40.0	12.0	40.0
44	35.48147490024424	40.0	40.0	40.0	12.0	40.0
45	35.27378192396273	40.0	40.0	40.0	12.0	40.0
46	35.077372970727936	40.0	40.0	40.0	12.0	40.0
47	34.85116844003789	40.0	40.0	40.0	12.0	40.0
48	34.61806185184643	40.0	40.0	40.0	12.0	40.0
49	34.35025594429074	40.0	40.0	40.0	12.0	40.0
50	34.14059852937713	40.0	24.0	40.0	12.0	40.0
51	33.883188578195494	40.0	24.0	40.0	12.0	40.0
52	33.61755950011861	40.0	24.0	40.0	12.0	40.0
53	33.346870492221015	40.0	24.0	40.0	12.0	40.0
54	33.03839732025039	40.0	24.0	40.0	12.0	40.0
55	32.67714811944688	40.0	24.0	40.0	12.0	40.0
56	32.30375659853768	40.0	24.0	40.0	12.0	40.0
57	31.83074512581888	40.0	24.0	40.0	12.0	40.0
58	31.275671629644652	40.0	24.0	40.0	12.0	40.0
59	30.698969701003204	40.0	24.0	40.0	12.0	40.0
60	30.234033059296863	40.0	12.0	40.0	12.0	40.0
61	29.854829123875525	40.0	12.0	40.0	12.0	40.0
62	29.562562227105182	40.0	12.0	40.0	12.0	40.0
63	29.28030866092368	40.0	12.0	40.0	12.0	40.0
64	29.00504465207277	40.0	12.0	40.0	12.0	40.0
65	28.756862895606744	40.0	12.0	40.0	12.0	40.0
66	28.501468930010738	40.0	12.0	40.0	12.0	40.0
67	28.26778844021138	40.0	12.0	40.0	12.0	40.0
68	28.048481049080593	24.0	12.0	40.0	12.0	40.0
69	27.830304260724677	24.0	12.0	40.0	12.0	40.0
70	27.617709870524916	24.0	12.0	40.0	12.0	40.0
71	27.41139235616854	24.0	12.0	40.0	12.0	40.0
72	27.21026458059258	24.0	12.0	40.0	12.0	40.0
73	27.007241484478122	24.0	12.0	40.0	12.0	40.0
74	26.83057663069509	24.0	12.0	40.0	12.0	40.0
75	26.647070202685203	24.0	12.0	40.0	12.0	40.0
76	26.460874673559232	24.0	12.0	40.0	12.0	40.0
77	26.25343348108825	24.0	12.0	40.0	12.0	40.0
78	26.071135364281986	24.0	12.0	40.0	12.0	40.0
79	25.881413186248476	24.0	12.0	40.0	12.0	40.0
80	25.703432810122777	24.0	12.0	40.0	12.0	40.0
81	25.515163234037775	24.0	12.0	40.0	12.0	40.0
82	25.343795453740587	24.0	12.0	40.0	12.0	40.0
83	25.161430838448098	24.0	12.0	40.0	12.0	40.0
84	24.98459182525815	24.0	12.0	40.0	12.0	40.0
85	24.795734088004327	24.0	12.0	40.0	12.0	40.0
86	24.633314066038672	24.0	12.0	40.0	12.0	40.0
87	24.475945536780905	24.0	12.0	40.0	12.0	40.0
88	24.300267330933195	24.0	12.0	40.0	12.0	40.0
89	24.143463762019643	24.0	12.0	40.0	12.0	40.0
90	23.977230392417926	24.0	12.0	40.0	12.0	40.0
91	23.813599429755957	24.0	12.0	40.0	12.0	40.0
92	23.68958685059902	24.0	12.0	40.0	12.0	40.0
93	23.556722573618938	24.0	12.0	40.0	12.0	40.0
94	23.4038026072458	24.0	12.0	40.0	12.0	40.0
95	23.252362565820416	24.0	12.0	40.0	12.0	40.0
96	23.104295733507243	24.0	12.0	40.0	12.0	40.0
97	22.963388955423895	24.0	12.0	40.0	12.0	40.0
98	22.821796715056827	24.0	12.0	40.0	12.0	40.0
99	22.690895448281424	24.0	12.0	40.0	12.0	40.0
100	22.57117981605364	24.0	12.0	24.0	12.0	40.0
101	22.457684654085416	24.0	12.0	24.0	12.0	40.0
102	22.353492227019427	24.0	12.0	24.0	12.0	40.0
103	22.253382828755353	24.0	12.0	24.0	12.0	40.0
104	22.172191147610206	24.0	12.0	24.0	12.0	40.0
105	22.091742471143355	24.0	12.0	24.0	12.0	40.0
106	22.03029123682761	24.0	12.0	24.0	12.0	40.0
107	21.96954240821841	24.0	12.0	24.0	12.0	40.0
108	21.916537425700458	24.0	12.0	24.0	12.0	40.0
109	21.86341836175241	24.0	12.0	24.0	12.0	40.0
110	21.82744322439663	24.0	12.0	24.0	12.0	40.0
111	21.787042309797783	24.0	12.0	24.0	12.0	40.0
112	21.75762153390418	24.0	12.0	24.0	12.0	40.0
113	21.729839495420123	24.0	12.0	24.0	12.0	40.0
114	21.71234511478687	24.0	12.0	24.0	12.0	40.0
115	21.69615512069359	24.0	12.0	24.0	12.0	40.0
116	21.676889826159147	24.0	12.0	24.0	12.0	40.0
117	21.672720884120455	24.0	12.0	24.0	12.0	40.0
118	21.672587743810997	24.0	12.0	24.0	12.0	40.0
119	21.71637714032735	24.0	12.0	24.0	12.0	40.0
120	21.74234047931747	24.0	12.0	24.0	12.0	40.0
121	21.782552777242255	24.0	12.0	24.0	12.0	40.0
122	21.856131622321122	24.0	12.0	24.0	12.0	40.0
123	21.921013272043087	24.0	12.0	24.0	12.0	40.0
124	21.99051156459041	24.0	12.0	24.0	12.0	40.0
125	22.052430532275306	24.0	12.0	24.0	12.0	40.0
126	22.13460145725793	24.0	12.0	24.0	12.0	40.0
127	22.218637409243886	24.0	12.0	24.0	12.0	40.0
128	22.31094037257094	24.0	12.0	24.0	12.0	40.0
129	22.393617904907707	24.0	12.0	24.0	12.0	40.0
130	22.47266614915417	24.0	12.0	24.0	12.0	40.0
131	22.59217737292377	24.0	12.0	24.0	12.0	40.0
132	22.667358498385692	24.0	12.0	24.0	12.0	40.0
133	22.77462243487613	24.0	12.0	24.0	12.0	40.0
134	22.86030850226444	24.0	12.0	24.0	12.0	40.0
135	22.982079947995356	24.0	12.0	24.0	12.0	40.0
136	23.08164084495782	24.0	12.0	24.0	12.0	40.0
137	23.232713414779564	24.0	12.0	24.0	12.0	40.0
138	23.329420264328764	24.0	12.0	24.0	12.0	40.0
139	23.45839397950958	24.0	12.0	24.0	12.0	40.0
140	23.572777188379845	24.0	12.0	24.0	12.0	40.0
141	23.717427731396036	24.0	12.0	24.0	12.0	40.0
142	23.86305712283727	24.0	12.0	40.0	12.0	40.0
143	23.993424049018884	24.0	12.0	40.0	12.0	40.0
144	24.12678854744229	24.0	12.0	40.0	12.0	40.0
145	24.264988475333887	24.0	12.0	40.0	12.0	40.0
146	24.3958310925599	24.0	12.0	40.0	12.0	40.0
147	24.52775676421549	24.0	12.0	40.0	12.0	40.0
148	24.657035322612927	24.0	12.0	40.0	12.0	40.0
149	24.79952854975397	24.0	12.0	40.0	12.0	40.0
150	24.933348296398886	24.0	12.0	40.0	12.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.08686373944628656
1101	2	0.004550097796460761
1101	3	-0.4633280150091892
1101	4	-0.43247189529677854
1101	5	-0.5338105491831584
1101	6	-0.747134882353933
1101	7	-0.7752212800466367
1101	8	-0.5577201236387026
1101	9	-0.6678949629831408
1101	10	-0.7328329627795611
1101	11	-0.762904215072659
1101	12	-0.958918848290331
1101	13	-0.7170003160663967
1101	14	-0.8672895841252952
1101	15	-1.339816198335697
1101	16	-0.4094003714372789
1101	17	-0.2473782814598735
1101	18	-0.34656750385241963
1101	19	-0.38727215182319696
1101	20	-0.32269943130606293
1101	21	-0.29592585324557774
1101	22	-0.3067575125085966
1101	23	-0.5302021463677775
1101	24	-0.32089629714946
1101	25	-0.4341329530495841
1101	26	-0.5251889838876949
1101	27	-0.5598439814082212
1101	28	-0.5866122208300908
1101	29	-0.41715308179166755
1101	30	-0.47662809977421716
1101	31	-0.44292862979981606
1101	32	-0.41625058096589385
1101	33	-0.488218635072613
1101	34	-0.45723880856248655
1101	35	-0.6755425859485982
1101	36	-0.5541482421682957
1101	37	-0.45688453187156597
1101	38	-0.3769116349838555
1101	39	-0.47915395423169116
1101	40	-0.3993545001515244
1101	41	-0.3951095614905924
1101	42	-0.4897950959853361
1101	43	-0.40457598157085073
1101	44	-0.4461484306741852
1101	45	-0.46750632596699404
1101	46	-0.4818268599664961
1101	47	-0.477809429536876
1101	48	-0.619656691507906
1101	49	-0.4929842651337424
1101	50	-0.5817376118133524
1101	51	-0.5638292860864382
1101	52	-0.6162628862203832
1101	53	-0.5498579690024528
1101	54	-0.6150622082991646
1101	55	-0.5401769235930232
1101	56	-0.4759805145876683
1101	57	-0.452425380970336
1101	58	-0.518659929496291
1101	59	-0.4375182352137763
1101	60	-0.513577476619318
1101	61	-0.4709199349496487
1101	62	-0.45402335871833444
1101	63	-0.4541379718855154
1101	64	-0.4768438892897038
1101	65	-0.5715786037008606
1101	66	-0.5835918999216254
1101	67	-0.5496542770368862
1101	68	-0.4893964396553798
1101	69	-0.6351414187407585
1101	70	-0.5750224624562001
